out_units,lr,optimizer,p_dropout,epochs,use_early_stopping,activation_function,batch_size,momentum,l2_reg,outer_fold,inner_fold,inner_train_loss,inner_eval_loss
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,4,0.058,0.062
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,4,0.021,0.05
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,4,0.056,0.062
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,4,0.018,0.054
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,4,0.056,0.062
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,4,0.013,0.065
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,4,0.056,0.062
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,4,0.015,0.057
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,4,0.058,0.062
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,4,0.014,0.049
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,4,0.056,0.062
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,4,0.012,0.051
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,4,0.056,0.061
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,4,0.011,0.059
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,4,0.056,0.061
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,4,0.009,0.055
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,4,0.056,0.062
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,2,4,0.011,0.051
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,2,4,0.055,0.06
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,2,4,0.01,0.049
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,2,4,0.056,0.061
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,2,4,0.007,0.053
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,2,4,0.055,0.061
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,2,4,0.007,0.067
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,2,4,0.056,0.061
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,3,1,0.026,0.049
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,3,1,0.065,0.065
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,3,1,0.026,0.047
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,3,1,0.065,0.067
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,3,1,0.024,0.057
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,3,1,0.06,0.063
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,3,1,0.023,0.063
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,3,1,0.062,0.065
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,3,1,0.017,0.048
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,3,1,0.058,0.062
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,3,1,0.018,0.048
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,3,1,0.058,0.062
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,3,1,0.013,0.068
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,3,1,0.057,0.061
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,3,1,0.012,0.061
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,3,1,0.058,0.063
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,3,1,0.015,0.049
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,3,1,0.056,0.062
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,3,1,0.014,0.053
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,3,1,0.056,0.062
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,3,1,0.01,0.061
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,3,1,0.056,0.062
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,3,1,0.009,0.06
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,3,1,0.057,0.062
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,3,1,0.01,0.057
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,3,1,0.055,0.061
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,3,1,0.011,0.051
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,3,1,0.057,0.061
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,3,1,0.006,0.06
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,3,1,0.056,0.061
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,3,1,0.007,0.063
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,3,1,0.056,0.062
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,3,2,0.028,0.04
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,3,2,0.067,0.063
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,3,2,0.027,0.04
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,3,2,0.062,0.06
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,3,2,0.023,0.051
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,3,2,0.067,0.063
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,3,2,0.022,0.049
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,3,2,0.06,0.06
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,3,2,0.017,0.045
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,3,2,0.058,0.058
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,3,2,0.017,0.04
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,3,2,0.06,0.059
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,3,2,0.014,0.057
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,3,2,0.059,0.058
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,3,2,0.017,0.058
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,3,2,0.059,0.058
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,3,2,0.014,0.048
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,3,2,0.058,0.059
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,3,2,0.013,0.046
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,3,2,0.059,0.059
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,3,2,0.009,0.066
